date,location,latitude,longitude,notes
2022-06-14,Nijarapar/Boragaon,26.121,91.671,landslide buried house; 4 deaths
2022-06-19,Zoo Road/Nabin Nagar/Anil Nagar/Hatigaon,26.15,91.77,urban flooding + landslides
2022-06-30,Noonmati,26.181,91.8,landslide; 1 death
2023-06-17,Dhirenpara,26.153,91.72,landslide/guard-wall collapse; 1 death
2024-05-29,Krishnanagar/Lal Ganesh,26.16,91.72,landslide/guard-wall collapse; 1 death
2025-05-30,Kamrup Metro/Bonda,26.182,91.82,multiple landslides; 5 deaths
2025-06-07,Rupnagar,26.166,91.755,landslide destroyed house; 1 death
2026-07-16,Lal Ganesh,26.16,91.72,boulder/landslide damage; 0 deaths
